id,text,intent,tramite,playlist,yt_title,n_frames,duration_s,fps,confidence_avg,pose_pct,face_pct,left_hand_pct,right_hand_pct,word_count
DSC_0845 p.68 edificio accesible_0000,"Si el edificio o lugar donde vivís no es accesible los vecinos pueden tomar decisiones en la Asamblea de consorcio, en base a la Ley N° 962 sobre Accesibilidad física para todos. Esta Ley contempla que haya rampas, ascensor accesible, etc. Los vecinos deciden entre todos qué modificaciones hacer.",accesibilidad,3_ley_no_962_de_accesibilidad_edilicia,Guía de Información 2018/2019 | Accesibilidad,3. Ley No. 962 de accesibilidad edilicia,,26.29,29.97002997002997,0.7453,0.986,0.952,0.789,0.685,49
DSC_0846 p.68 lugr publico_0000,"Si en lugares públicos, sean plazas o edificios municipales, existen barreras para la accesibilidad se puede realizar un reclamo online en la página http://solicitudes.buenosaires.gob.ar/suaci/contacto",accesibilidad,4_reclamos_online,Guía de Información 2018/2019 | Accesibilidad,4. Reclamos online,,15.78,29.97002997002997,0.7397,0.979,0.85,0.71,0.772,24
DSC_0847 p.69_0000,"Guía de Turismo Accesible. COPIDIS junto al Ente de Turismo de la Ciudad y la Provincia de Buenos Aires prepararon una guía para las personas con discapacidad que quieren conocer la Ciudad. Esta incluye actividades recreativas, lugares de interés, museos, restaurantes, recorridos y museos. La podés descargar gratuitamente aquí: https://www.buenosaires.gob.ar/copidis/guia-de-turismo-accesible-201819",accesibilidad,5_guía_de_turismo_accesible,Guía de Información 2018/2019 | Accesibilidad,5. Guía de Turismo Accesible,,27.09,29.97002997002997,0.7552,0.994,0.977,0.732,0.734,50
DSC_0848 p.70 BAapp_0000,"BA Accesible funciona en computadoras, celular o tablets, se descarga la app en Google Store. Con la app podes ver qué lugares son accesibles, qué tipo de accesibilidad existe: braille, audio guías, o Intérprete de LSA. También se puede ver el relieve en el mapa de la ciudad. Esta no es una aplicación cerrada, todos pueden hacer sus aportes.",accesibilidad,6_app_ba_accesible,Guía de Información 2018/2019 | Accesibilidad,6.  App BA Accesible,,34.83,29.97002997002997,0.7502,0.987,0.974,0.829,0.755,59
DSC_0851 p.73_0000,Los Hogares son para personas con discapacidad que tienen entre 18 y 58 años; madres o padres solos que tienen un niño con discapacidad y madres con discapacidad que tiene/n hijo/s a su cargo. En los Hogares pueden vivir temporalmente y recibir distintos apoyos. Para solicitar el ingreso pueden enviar un mail al Programa Hogares para Personas con Discapacidad:  vacantes.goaist@gmail.com,servicios_sociales,1_programa_hogares,Guia de Información 2018/2019 | Servicios Sociales Zonales,1. Programa Hogares,,27.83,29.97002997002997,0.7604,1.0,1.0,0.796,0.729,60
DSC_0856 p.74_0000,"Apoyos del Gobierno Nacional para personas con discapacidad que necesiten realizar adaptaciones en su entorno, ó, para asociaciones que trabajan con personas con discapacidad. Pueden pedir subsidio para cubrir los costos de materiales, arreglos, adaptaciones, a los albañiles, electricistas, las herramientas necesarias, etc.",servicios_sociales,2_apoyos_del_gobierno_de_la_nación,Guia de Información 2018/2019 | Servicios Sociales Zonales,2. Apoyos del Gobierno de la Nación,,25.63,29.97002997002997,0.7318,0.966,0.952,0.737,0.699,43
DSC_0858 p. 75 ayuda tecnica_0000,"Las personas con discapacidad que necesiten un apoyo técnico, pueden solicitar una ayuda económica al gobierno Nacional. Para cubrir costos de, por ejemplo, audífonos, computadoras adaptadas al braille, bastones, prótesis, sillas de ruedas, etc., a través de la Agencia Nacional de Discapacidad.",servicios_sociales,3_pedir_ayuda_técnica,Guia de Información 2018/2019 | Servicios Sociales Zonales,3. Pedir ayuda técnica,,22.52,29.97002997002997,0.7463,0.984,0.927,0.825,0.775,42
DSC_0862 p. 85 apoyos copidis educacion_0000,"COPIDIS brinda apoyos educativos, si la persona con discapacidad tiene algún problema con la integración escolar. COPIDIS aconseja y acompaña a las instituciones educativas y a las familias para mejorar esta inclusión. Si surge algún inconveniente con tu derecho a aprender, podes escribir a la siguiente dirección: inclusioneducativa@buenosaires.gob.ar",educacion,1_apoyos_educación,Guía de Información 2018/2019 | Educación,1. Apoyos Educación,,25.33,29.97002997002997,0.6389,0.846,0.817,0.665,0.643,48
DSC_0866 p.85 libros escolares accesibles_0000,"Material Escolares Accesibles para los niños con discapacidad visual, u otras discapacidades que se relacionan con la lectura pueden estudiar como los demás. COPIDIS adapta libros escolares y libros de literatura infantil y juvenil en formato digital y accesible (audiolibros y/o lenguaje fácil). Podes pedir estos libros en la página: https://librosescolares.buenosaires.gob.ar/",educacion,2_materia_didáctico_braille_,Guía de Información 2018/2019 | Educación,2. Materia didáctico Braille ↓,,24.09,29.97002997002997,0.7585,1.0,1.0,0.767,0.77,51
DSC_0871 p.86 registro docentes apoyo_0000,"Registro de acompañantes y docentes de apoyo, para alumnos con discapacidad que necesiten apoyo para mejor inclusión en las escuelas. Estos profesionales pueden ser Docentes o Acompañanates No Docentse, que hayan rendido un examen de COPIDIS. COPIDIS tiene dos registros, el de profesionales, y el de familias que necesitan el servicio. La Obra Social de la persona con discapacidad es la que debe abonar el servicio.",educacion,3_registro_acompañantes_no_docentes_apnd,Guía de Información 2018/2019 | Educación,3. Registro Acompañantes No Docentes APND,,33.83,29.97002997002997,0.7324,0.968,0.95,0.742,0.684,66
DSC_0873 p.87 que apoyos te da el Ministerio de Educacion_0000,"¿Qué apoyos te da el Ministerio de Educación? Las personas con discapacidad que están estudiando y necesitan apoyo, por ejemplo, si una personas Sorda necesita un Intérprete de LSA, cómo lo pide? Debe preparar una nota y entregarla al Director/a del establecimiento, quien es el responsable de presentarla en el Ministerio de Educación – Dirección de Educación Especial.",educacion,4_apoyos_ministerio_de_educación,Guía de Información 2018/2019 | Educación,4. Apoyos Ministerio de Educación,,20.09,29.97002997002997,0.7577,1.0,0.98,0.767,0.807,58
DSC_0878 p. 95 escuelas hospitalarias_0000,"Las personas con discapacidad que no pueden asistir a la escuela, sea que no pueden moverse o están hospitalizadas, pueden pedir que un docente se acerque al hospital o domicilio, según corresponda. Podés averiguar más por internet en las páginas:",educacion,6_escuela_hospitalaria_o_domiciliaria,Guía de Información 2018/2019 | Educación,6. Escuela hospitalaria o domiciliaria,,15.32,29.97002997002997,0.7615,1.0,0.937,0.743,0.693,40
DSC_0881 p.96 material en braille_0000,"Materiales didácticos en Braille: Si sos una persona ciega o ayudás a personas ciegas o que tienen baja visión podés pedir la adaptación al sistema Braille de materiales didácticos, por ejemplo textos escolares, manuales con relieve, gráficos, etc. Más detalles en el link sobre qué información incluir en la nota de pedido. (link facebook)",educacion,7_materiales_didácticos,Guía de Información 2018/2019 | Educación,7. Materiales didácticos,,23.79,29.97002997002997,0.7626,1.0,0.99,0.756,0.792,54
"DSC_0882 p,105 beo_0000","Dentro de COPIDIS funciona el BEO, para las personas con discapacidad que necesitan algún apoyo ortopédico (silla ruedas, audífono, bastón, cama adaptada, etc) y que no tienen fondos para costearlos. El trámite de solicitud pueden realizarlo en la página:   https://www.buenosaires.gob.ar/copidis/banco-de-elementos-ortopedicos",vida_independiente,1_banco_de_elementos_ortopédicos_beo,Guía de Información 2018/2019 | Vida Independiente,1. Banco de Elementos Ortopédicos - BEO,,16.22,29.97002997002997,0.7453,0.981,0.928,0.761,0.767,40
DSC_0884 p.108 rul_0000,"En el Registro Único Laboral (RUL) se pueden anotar las personas con discapacidad mayores de 18 años, con el Certificado de Discapacidad vigente y que viven en CABA. Para buscar trabajo tenes que abrir un perfil en la página web. COPIDIS se encarga de evaluar a los aspirantes, y está en contacto con empresas y organismos públicos que buscan incorporar a personas con discapacidad. COPIDIS funciona como intermediario. Acompaña en las búsquedas laborales y capacita los directivos de empresas y organismos sobre las necesidades de las personas con discapacidad.",trabajo,1_registro_único_laboral_rul,Guía de Información 2018/2019 | Trabajo,1. Registro Único Laboral - RUL,,37.04,29.97002997002997,0.7585,1.0,0.977,0.777,0.739,89
DSC_1026 becas primera parte_0000,"Becas de estudio o Formación profesional para personas con discapacidad que quieren empezar o están estudiando una carrera terciaria,  universitaria, posgrado, cursos de formación profesional.  COPIDIS otorga un dinero para cubrir parte de los gastos de estudios, para inscribirte tenes que ser mayor de 18 años, presentar el CUD vigente, el DNI, el CUIL, una constancia de estudios y venir personalmente.",trabajo,2_becas_de_estudio_y_formación_profesional,Guía de Información 2018/2019 | Trabajo,2. Becas de estudio y formación profesional,,29.7,29.97002997002997,0.7596,1.0,1.0,0.778,0.812,61
DSC_1031pquenos com si_0000,"¿Qué es el Registro de Pequeños Comercios? Las personas con discapacidad que quieran tener su negocio en algún edificio del gobierno, pueden anotarse en COPIDIS. El nombre es Registro de Aspirantes a Explotar los Espacios para Pequeños Comercios, de forma corta es Registro de Pequeños Comercios. Los requisitos son tener Certificado Único de Discapacidad vigente, mayor de 18 años y vivir en la Ciudad de Buenos Aires. Si te llaman debes  presentar un Plan de Negocios contando tus objetivos, cómo se va a desarrollar, costos, etc.",trabajo,3_registro_pequeños_comercios,Guía de Información 2018/2019 | Trabajo,3. Registro Pequeños Comercios,,34.0,29.97002997002997,0.7605,1.0,0.982,0.771,0.763,86
DSC_1034 ferias si_0000,"Para vender tus trabajos y productos artesanales en las Ferias Artesanales de la Ciudad de Buenos Aires, podes pedir un permiso en COPIDIS. Necesitas el Certificado Único de Discapacidad vigente, ser mayor de 18 años y vivir en la Ciudad de Buenos Aires. IMPORTANTE: COPIDIS tramita el pedido, pero el permiso lo da la Dirección General de Ferias y Mercados.",trabajo,4_vender_en_ferias_artesanales,Guía de Información 2018/2019 | Trabajo,4.  Vender en ferias artesanales,,22.49,29.97002997002997,0.7569,1.0,0.981,0.754,0.736,60
DSC_1035 programas nacion_0000,El Gobierno de la Nación tiene distintos Programas para brindar apoyo a personas con discapacidad con el objetivo de mejorar su trabajo. También apoya a las empresas para que trabajen con personas con discapacidad. Pueden ver los Programas en el link:,trabajo,5_programas_nación_16_,Guía de Información 2018/2019 | Trabajo,5.  Programas Nación 16 ↓,,13.58,29.97002997002997,0.7634,1.0,0.87,0.764,0.754,41
